Time,Absorbance
0.017,1022.0
0.034,1791.2
0.051,3925.526315789473
0.068,3382.815384615384
0.085,22774.132701421797
0.102,38193.8045112782
0.11900000000000001,69447.75716367169
0.136,60414.02252180809
0.153,53311.25575087372
0.17,47666.95638087032
0.187,44717.20208567724
0.204,36918.35967535485
0.221,39115.529349089076
0.23800000000000002,44171.672654531496
0.255,38870.007912538436
0.272,34867.24464609341
0.289,31347.59079224115
0.306,24206.56195942516
0.32299999999999995,22807.41015871457
0.34,21863.322858367792
0.35700000000000004,19981.171227620198
0.374,19386.701363246524
0.391,20420.559697225453
0.408,17757.881626573468
0.425,16804.216650553157
0.442,15902.787301355102
0.45899999999999996,15380.515675095483
0.47600000000000003,15238.008777892876
0.493,13184.989791894854
0.51,12247.988308044769
0.527,12010.658046896599
0.544,12932.440834457668
0.561,12600.626710248165
0.578,12449.084317388557
0.595,13217.723406130763
0.612,12418.48190482832
0.629,12835.654730551427
0.6459999999999999,11313.102843884655
0.6629999999999999,11988.401987531883
0.68,11996.934659126266
0.6970000000000001,14785.623274219282
0.7140000000000001,14148.748823880642
0.731,14904.165902829525
0.748,16599.443965504543
0.765,15984.962636351534
0.782,15288.641752039137
0.799,18320.76118407543
0.816,19229.507459257016
0.833,22660.338314242348
0.85,20540.558872837057
0.867,17774.039245665495
0.884,16764.35949640655
0.9009999999999999,13889.572996268482
0.9179999999999999,14363.715330992542
0.935,11993.143553505437
0.9520000000000001,10893.095702185497
0.9690000000000001,8885.397134606044
0.986,8661.264756390314
1.003,8656.509837593348
1.02,14632.339891891423
1.037,13455.893261239617
1.054,12580.5955074825
1.071,11413.730338312263
1.088,10709.820225537727
1.105,12235.213483697282
1.122,11456.80898912966
1.139,10808.205992752075
1.156,9571.803995166738
1.173,9293.535996777628
1.19,10507.690664518992
1.207,10662.127109679377
1.224,8748.751406452517
1.2409999999999999,7940.167604301565
1.258,7810.111736201032
1.275,9277.741157467444
1.2919999999999998,7868.827438311571
1.3090000000000002,6938.884958874355
1.3259999999999998,8817.589972582937
1.3430000000000002,8536.059981721955
1.36,9518.706654481311
1.3769999999999998,10291.80443632088
1.3940000000000001,10927.869624213921
1.411,15793.913082809293
1.4280000000000002,23542.608721872875
1.445,36892.40581458193
1.462,61817.60387638797
1.479,92347.73591759198
1.496,127469.15727839466
1.5130000000000001,185422.10485226312
1.53,258953.4032348421
1.547,350555.6021565614
1.564,456039.7347710409
1.581,603589.1565140273
1.598,790830.1043426847
1.615,1015966.7362284564
1.632,1287337.824152304
1.649,1607878.5494348693
1.666,2013060.366289913
1.683,2464002.910859942
1.7,2963628.6072399616
1.7169999999999999,3552541.7381599746
1.734,4242537.158773317
1.751,4997958.105848878
1.768,5753646.737232585
1.785,6621129.824821723
1.8019999999999998,7496326.549881148
1.819,8342959.033254099
1.8359999999999999,9304351.355502732
1.8530000000000002,10257258.237001821
1.87,11206897.491334548
1.8869999999999998,12230475.6608897
1.9040000000000001,13334749.1072598
1.921,14413630.071506536
1.9380000000000002,15412777.381004358
1.955,16375835.587336237
1.972,17407677.058224156
1.989,18399358.038816106
2.006,19463934.69254407
2.023,20425215.12836271
2.04,21283839.418908473
2.057,22067540.945938982
2.074,23001315.297292653
2.0909999999999997,23784599.531528432
2.108,24637882.354352284
