Time,Absorbance
0.017,3272.0
0.034,3777.2000000000003
0.051,3287.315789473684
0.068,3538.0769230769233
0.085,51691.97156398104
0.102,81522.88120300752
0.11900000000000001,108475.38805245266
0.136,124732.58937351308
0.153,126622.89750143446
0.17,123919.04268849635
0.187,126768.30213764786
0.204,129514.70221581699
0.221,127129.54599336373
0.23800000000000002,134838.10289337125
0.255,129025.46117497183
0.272,124192.2825644756
0.289,121011.62680707517
0.306,115111.75912128667
0.32299999999999995,108732.96198351934
0.34,101266.39591193806
0.35700000000000004,93489.37142519117
0.374,105977.2500447947
0.391,103599.2881420717
0.408,102256.77901205343
0.425,103311.22776645022
0.442,98143.34873829552
0.45899999999999996,93691.48746856145
0.47600000000000003,93572.99025526563
0.493,86433.93765725361
0.51,81943.93502237856
0.527,75417.26732345743
0.544,74410.17588138158
0.561,77156.12149732621
0.578,81821.41913747093
0.595,74364.94097082525
0.612,71249.95922105049
0.629,74422.64044908933
0.6459999999999999,71261.75965620144
0.6629999999999999,68991.83946287133
0.68,64694.55925327796
0.6970000000000001,63413.70609162701
0.7140000000000001,63877.13741304543
0.731,58459.42479685528
0.748,59126.28320981644
0.765,54734.85542091128
0.782,52132.57025994625
0.799,52171.04684016784
0.816,48408.69788016888
0.833,46469.79858221801
0.85,44585.19905185634
0.867,47236.79937067661
0.884,42169.19957691878
0.9009999999999999,39327.466383292
0.9179999999999999,41558.310922885765
0.935,39772.20728155496
0.9520000000000001,36902.47152064152
0.9690000000000001,37196.31434712132
0.986,36004.209564674595
1.003,34429.47304305215
1.02,34252.982028696635
1.037,39737.988019230535
1.054,41862.65867951271
1.071,43959.1057863587
1.088,40764.73719088864
1.105,40197.82479392373
1.122,39069.216529279794
1.139,33876.811019511595
1.156,34789.8740130087
1.173,30385.916008669352
1.19,29441.277339112457
1.207,33950.184892743055
1.224,32631.123261828427
1.2409999999999999,30604.74884121867
1.258,34791.16589414617
1.275,33162.777262764015
1.2919999999999998,32647.184841842656
1.3090000000000002,32903.45656122844
1.3259999999999998,35046.30437415233
1.3430000000000002,31324.202916101513
1.36,33458.801944067694
1.3769999999999998,35436.534629378475
1.3940000000000001,38911.02308625233
1.411,40232.68205750156
1.4280000000000002,52327.12137166772
1.445,59892.74758111183
1.462,82621.83172074125
1.479,94714.55448049416
1.496,119068.36965366278
1.5130000000000001,159842.91310244185
1.53,213484.60873496122
1.547,293875.07248997415
1.564,404919.3816599827
1.581,555514.2544399885
1.598,755772.1696266591
1.615,1013416.1130844395
1.632,1327600.0753896264
1.649,1711605.3835930843
1.666,2176334.255728723
1.683,2692916.1704858155
1.7,3285368.11365721
1.7169999999999999,3933946.74243814
1.734,4613969.828292093
1.751,5352673.2188613955
1.768,6158059.479240931
1.785,6978375.652827288
1.8019999999999998,7843375.768551526
1.819,8716319.845701016
1.8359999999999999,9617429.230467344
1.8530000000000002,10412046.153644895
1.87,11271177.435763264
1.8869999999999998,12000944.957175508
1.9040000000000001,12860192.638117006
1.921,13685611.092078006
1.9380000000000002,14372764.728052005
1.955,15122024.485368004
1.972,15719834.990245337
1.989,16277095.326830223
2.006,16740762.217886815
2.023,17303142.811924543
2.04,17779780.54128303
2.057,18115288.360855352
2.074,18456720.240570236
2.0909999999999997,18764213.49371349
2.108,18987982.32914233
2.125,19226590.886094887
2.142,19429012.590729926
