Time,Absorbance
0.017,3587.0
0.034,4722.8
0.051,4829.9473684210525
0.068,4235.553846153846
0.085,66506.68246445496
0.102,105979.13383458646
0.11900000000000001,154857.49198640118
0.136,164133.60063441715
0.153,164049.5473371238
0.17,163446.57509694097
0.187,160417.36261200806
0.204,159653.68917881083
0.221,187056.59524969876
0.23800000000000002,175025.852341666
0.255,166440.29508235428
0.272,160348.25529691658
0.289,154274.0050816419
0.306,145103.13134581668
0.32299999999999995,142819.724201589
0.34,138466.5069972169
0.35700000000000004,130031.98032887715
0.374,126847.5612654393
0.391,124532.83459039633
0.408,119532.25934346575
0.425,120374.8729316017
0.442,128986.14263747146
0.45899999999999996,118534.57780088813
0.47600000000000003,112064.30927869506
0.493,113250.88213459871
0.51,111308.57796043158
0.527,113497.72625136533
0.544,106577.1347935581
0.561,102595.41704310199
0.578,102452.94454863439
0.595,100744.62852588395
0.612,98691.08474372611
0.629,90328.72061006201
0.6459999999999999,88775.14675724588
0.6629999999999999,87318.0976405056
0.68,85308.0649118876
0.6970000000000001,83941.37652552495
0.7140000000000001,86959.58447166547
0.731,84838.38959093667
0.748,91000.25983736826
0.765,93850.8399255278
0.782,99763.2266639609
0.799,106896.8178137328
0.816,135355.2119762441
0.833,134156.80798134353
0.85,168632.5387082983
0.867,178352.35914902808
0.884,181349.57276810787
0.9009999999999999,189305.04851576878
0.9179999999999999,200688.69901403907
0.935,205712.46601039695
0.9520000000000001,222101.64400918782
0.9690000000000001,240958.42934118942
0.986,250222.9528946932
1.003,265065.9685970677
1.02,276246.64573168254
1.037,286873.7638213144
1.054,284081.1758808425
1.071,333872.7839209629
1.088,334752.52261398
1.105,339109.68174266897
1.122,342025.1211617863
1.139,345680.7474411967
1.156,355248.4982941413
1.173,355354.99886276096
1.19,361740.6659085103
1.207,365475.1106056746
1.224,375447.4070704518
1.2409999999999999,371338.27138030063
1.258,377622.84758686763
1.275,376335.23172457836
1.2919999999999998,382447.4878163858
1.3090000000000002,381290.32521092385
1.3259999999999998,389516.2168072827
1.3430000000000002,394306.8112048552
1.36,396956.5408032368
1.3769999999999998,400520.3605354912
1.3940000000000001,408288.2403569942
1.411,413872.1602379962
1.4280000000000002,419968.10682533076
1.445,438218.73788355384
1.462,453932.4919223693
1.479,548893.6612815795
1.496,562835.7741877197
1.5130000000000001,591821.1827918132
1.53,639347.4551945421
1.547,721634.3034630282
1.564,843926.8689753521
1.581,980964.5793169014
1.598,1163459.0528779344
1.615,1394946.0352519562
1.632,1691478.690167971
1.649,2046436.4601119806
1.666,2465346.973407987
1.683,2986028.648938658
1.7,3555613.765959105
1.7169999999999999,4202942.510639403
1.734,4924713.673759602
1.751,5715739.782506402
1.768,6611133.188337602
1.785,7515262.125558401
1.8019999999999998,8457641.417038934
1.819,9473990.278025957
1.8359999999999999,10450222.852017304
1.8530000000000002,11408244.568011537
1.87,12454477.712007692
1.8869999999999998,13412403.80800513
