Time,Absorbance
0.017,12542.0
0.034,10767.800000000001
0.051,9723.421052631578
0.068,15860.96923076923
0.085,32802.2654028436
0.102,80305.1969924812
0.11900000000000001,145819.17824186498
0.136,145854.15003965105
0.153,139100.42000938917
0.17,134785.4518569582
0.187,125967.0178127802
0.204,113812.3314945624
0.221,99360.63148882409
0.23800000000000002,100567.22081574127
0.255,88181.86328646293
0.272,89018.5159434762
0.289,77658.14698435478
0.306,79622.76065808682
0.32299999999999995,77714.31288464602
0.34,80746.45377476364
0.35700000000000004,78141.1135161862
0.374,72754.68907647836
0.391,70454.9211306501
0.408,63392.194538595824
0.425,61090.70521518901
0.442,59389.758569388105
0.45899999999999996,58085.1494172371
0.47600000000000003,56267.41161555505
0.493,60996.97807474465
0.51,56824.63029063949
0.527,51071.066856839534
0.544,49616.70786695064
0.561,50601.806766821726
0.578,56518.54393962865
0.595,63891.03435622825
0.612,61272.68837203271
0.629,56156.457353074955
0.6459999999999999,51512.30395703496
0.6629999999999999,55198.86980479692
0.68,52792.57965224521
0.6970000000000001,50848.386317611184
0.7140000000000001,47434.924074538234
0.731,43153.949268310935
0.748,41673.29948575661
0.765,38538.19961983361
0.782,34638.13304892386
0.799,34280.08869738741
0.816,34252.0591314927
0.833,36517.3727596576
0.85,33844.91516891377
0.867,30867.276776162573
0.884,29691.18451662194
0.9009999999999999,24067.789675134823
0.9179999999999999,22280.859782869633
0.935,20229.573188156108
0.9520000000000001,22238.38212571399
0.9690000000000001,21043.254750366294
0.986,24204.16983377096
1.003,23396.446555814357
1.02,21995.29770383813
1.037,19163.53180250741
1.054,19256.6878683394
1.071,19365.125245560474
1.088,20452.41683037949
1.105,19927.277886917782
1.122,22335.51859128427
1.139,21545.012394188256
1.156,18259.008262788688
1.173,14611.338841856545
1.19,19358.892561239936
1.207,27151.261707495738
1.224,26892.84113833044
1.2409999999999999,26005.560758886837
1.258,20149.70717259068
1.275,16936.80478172692
1.2919999999999998,14191.536521151169
1.3090000000000002,11879.02434743405
1.3259999999999998,14207.016231622743
1.3430000000000002,15908.677487748519
1.36,20172.784991832377
1.3769999999999998,26532.523327888288
1.3940000000000001,40299.01555192558
