Time,Absorbance
0.017,14512.0
0.034,18439.0
0.051,20980.31578947368
0.068,29621.84615384615
0.085,32996.26540284359
0.102,85444.70375939849
0.11900000000000001,181757.42787761046
0.136,193407.52038065024
0.153,186727.24427520734
0.17,180656.893683757
0.187,169465.88295764112
0.204,160008.36291991014
0.221,147170.27689390097
0.23800000000000002,139964.8357815921
0.255,134852.8832350678
0.272,126547.94506293861
0.289,124032.076537986
0.306,113990.5898923088
0.32299999999999995,108613.96790505231
0.34,106453.99570448976
0.35700000000000004,106841.40814034159
0.374,101326.86836904773
0.391,101572.60080863544
0.408,101431.0587977097
0.425,99929.97975254858
0.442,99231.96807320045
0.45899999999999996,96418.59586412189
0.47600000000000003,91069.6678119528
0.493,88521.09193803705
0.51,97187.43982118598
0.527,109399.6690060813
0.544,100875.75958049961
0.561,95059.83073348219
0.578,105721.23147174728
0.595,97130.14841447321
0.612,96562.76534987758
0.629,92893.84244672951
0.6459999999999999,86547.8936731817
0.6629999999999999,83817.26207835962
0.68,82530.17460250515
0.6970000000000001,81832.11635958291
0.7140000000000001,81770.74423725512
0.731,83461.82953681835
0.748,86159.88640607764
0.765,86330.59093941809
0.782,90652.39399392571
0.799,84620.26263068842
0.816,87164.17509610242
0.833,82305.45005263817
0.85,81330.30003356276
0.867,77541.53335174716
0.884,76274.35556694817
0.9009999999999999,78222.90371220425
0.9179999999999999,82185.93580936389
0.935,83250.62387312915
0.9520000000000001,78889.74924815234
0.9690000000000001,80247.83283222621
0.986,76697.22188793353
1.003,79128.81459205488
1.02,75475.20972793722
1.037,75203.47315195322
1.054,88858.31543480053
1.071,89029.54362320174
1.088,81269.0290820928
1.105,80392.6860547254
1.122,75776.45736980592
1.139,75398.97157987002
1.156,78539.31438658336
1.173,83404.87625772569
1.19,83243.25083848371
1.207,75828.83389232014
1.224,78601.88926154735
1.2409999999999999,80103.9261743651
1.258,77514.61744957649
1.275,75967.07829971757
1.2919999999999998,75152.71886647835
1.3090000000000002,74687.14591098555
1.3259999999999998,73715.43060732368
1.3430000000000002,78314.28707154917
1.36,82937.52471436615
1.3769999999999998,86362.34980957746
1.3940000000000001,96313.56653971833
1.411,112491.71102647894
1.4280000000000002,146535.807350986
1.445,197557.20490065738
1.462,262190.13660043833
1.479,381641.4244002923
1.496,554267.6162668616
1.5130000000000001,776893.0775112411
1.53,1088830.0516741609
1.547,1561812.0344494407
1.564,2207629.356299627
1.581,3036339.5708664185
1.598,4140407.713910946
1.615,5535567.809273965
1.632,7314655.872849311
1.649,9360191.915232874
1.666,11751978.610155249
1.683,14712519.073436832
1.7,18073050.048957888
1.7169999999999999,21737788.03263859
1.734,25854162.68842573
1.751,30358327.125617158
1.768,34981754.08374477
1.785,40028753.38916318
1.8019999999999998,45243446.25944212
1.819,50838905.50629475
1.8359999999999999,57029542.33752984
1.8530000000000002,63451758.89168656
1.87,70006516.5944577
1.8869999999999998,76470776.39630513
1.9040000000000001,83064485.59753676
1.921,90087193.0650245
1.9380000000000002,97486011.376683
1.955,104555303.58445533
1.972,111884143.7229702
1.989,118792095.81531346
2.006,125566911.87687564
2.023,131765546.58458376
2.04,137880433.72305584
2.057,144130635.81537056
2.074,150236210.54358038
2.0909999999999997,155983223.0290536
2.108,162812836.68603572
2.125,168392643.12402382
2.142,173477847.4160159
2.1590000000000003,178315236.9440106
2.176,184221677.96267375
2.193,188585289.30844918
2.21,193454982.20563278
2.227,197411417.47042188
2.244,202217190.3136146
2.261,206633454.87574306
2.278,209419252.5838287
2.295,213089613.72255245
2.312,216273801.14836827
2.329,219286790.09891215
2.346,222300334.73260808
2.363,224970185.82173872
2.38,228082651.88115916
2.397,230343314.58743945
2.414,232145335.05829296
2.431,233969274.038862
2.448,235316305.35924134
2.465,237366667.57282758
2.4819999999999998,238580658.38188505
2.499,239739510.9212567
2.516,240206244.61417112
2.533,242144877.74278077
2.55,244005278.4951872
2.5669999999999997,244917865.6634581
2.5839999999999996,246083313.10897207
2.6010000000000004,247701323.4059814
2.6180000000000003,249085831.6039876
2.635,250593199.73599172
2.6519999999999997,251494346.49066114
2.6689999999999996,251068380.32710743
2.6860000000000004,251712829.55140495
2.7030000000000003,251399721.03426996
2.72,251327515.35617995
2.737,252655634.2374533
2.7539999999999996,251716961.49163556
2.7710000000000004,252106987.66109037
2.7880000000000003,251635186.4407269
2.805,251500876.2938179
2.822,251345800.1958786
2.839,251504560.13058576
2.8560000000000003,251326410.75372386
2.873,250486748.50248256
2.89,249615677.6683217
2.907,249062270.44554782
2.924,248518569.63036522
2.9410000000000003,248363633.08691016
2.958,247326454.0579401
2.975,246918990.70529342
2.992,245527775.13686228
3.009,244299924.7579082
3.0260000000000002,242967992.50527215
3.043,240993232.3368481
3.06,239846026.8912321
3.077,238098183.26082143
3.094,236463279.5072143
3.111,234095391.67147622
3.128,233783829.1143175
3.145,231506275.40954503
3.162,229267010.27303004
3.179,227861548.18202004
3.196,226274674.78801337
3.213,224572321.85867557
3.23,222650987.90578374
3.247,221599474.60385585
3.264,220122956.40257058
3.281,218679858.93504706
3.298,216904055.29003134
3.315,216195322.19335422
3.332,214068049.46223617
3.3489999999999998,212513334.30815744
3.366,211012644.2054383
3.383,209771885.47029218
3.4,207830600.9801948
3.417,206645637.98679653
3.4339999999999997,205211225.324531
3.451,204009190.21635398
3.468,202017262.81090268
3.485,200296095.20726848
3.502,198739050.13817897
3.5189999999999997,197520796.0921193
3.536,195643666.72807956
3.553,193502049.8187197
3.57,191741163.8791465
3.5869999999999997,188972530.58609763
3.6039999999999996,186438647.0573984
3.6210000000000004,184574628.7049323
3.638,183719704.46995488
3.655,181981029.64663658
3.6719999999999997,179609497.09775773
3.6889999999999996,177820944.7318385
3.7060000000000004,176005984.48789233
3.7230000000000003,174664938.99192822
3.74,172733255.32795215
3.7569999999999997,170659034.21863475
3.7739999999999996,168637244.1457565
3.7910000000000004,166683176.097171
3.8080000000000003,164888944.06478068
3.825,163026506.7098538
3.842,160337628.47323588
3.859,158255592.31549057
3.8760000000000003,156113904.21032706
3.8930000000000002,154145440.14021805
3.91,152210538.76014537
3.927,149943025.84009692
3.944,147759606.5600646
3.9610000000000003,145572175.0400431
3.978,143272842.0266954
3.995,140866140.01779693
4.012,138569448.01186463
4.029,136205466.67457643
4.046,133690129.78305095
4.063,131240459.8553673
4.08,129118557.23691154
4.0969999999999995,126894312.82460769
4.114,124910405.88307178
4.131,122408153.25538118
4.148,120386363.50358744
4.165,117869778.33572495
4.1819999999999995,115341452.22381663
4.199,113025117.48254442
4.216,110452798.32169628
4.2330000000000005,107939198.88113086
4.25,105651796.58742058
4.2669999999999995,104006712.39161372
4.284,102056656.26107581
4.301,99799520.17405052
4.3180000000000005,97678997.449367
4.335,95656376.96624465
4.352,93894267.31082976
4.369,91799292.87388651
4.386,89695400.58259101
4.4030000000000005,87686597.72172734
4.42,85840857.14781822
4.437,84204859.43187882
4.454,82663634.28791921
4.471,80781452.19194613
4.488,78857650.79463075
4.505,77160055.1964205
4.522,75172260.79761367
4.539,73386947.19840911
4.556,71844482.13227274
4.573,70390188.08818182
4.59,68526365.39212121
4.607,67063998.26141414
4.624,65273982.84094276
4.641,63418452.56062851
4.658,61890616.37375233
4.675,60174373.58250155
4.692,58698435.72166771
4.709,57300781.147778474
4.726,55669960.765185654
4.743,54326064.51012377
4.76,52721525.67341584
4.777,51184889.11561056
4.794,49618427.410407044
4.811,48343378.27360469
4.828,46941750.8490698
4.845,45589540.566046536
4.862,44455960.37736436
4.879,43253776.25157624
4.896,42072757.50105082
4.913,40840313.00070055
4.93,39671888.6671337
4.947,38539317.77808913
4.9639999999999995,37616334.51872609
4.981,36513588.345817395
4.998,35419341.56387826
5.015,34567305.04258551
5.032,33825542.02839034
5.0489999999999995,32812206.68559356
5.066,32044831.12372904
5.083,31271103.415819358
5.1,30493140.943879575
5.117,29720205.962586384
5.1339999999999995,28975539.97505759
5.151,28403319.983371723
5.167999999999999,27791098.655581146
5.185,27204092.437054098
5.202000000000001,26555048.291369397
5.218999999999999,25928816.194246262
5.236000000000001,25449205.46283084
5.252999999999999,24966990.308553893
5.27,24445492.20570259
5.287000000000001,23944568.13713506
5.303999999999999,23445413.424756706
5.321000000000001,22967918.283171136
5.337999999999999,22587806.855447423
5.355,22084543.23696495
5.372000000000001,21701588.8246433
5.388999999999999,21311459.216428865
5.406000000000001,21002562.14428591
5.422999999999999,20580225.42952394
5.44,20187051.61968263
5.457000000000001,19811271.746455085
5.474,19450159.830970056
5.4910000000000005,19051722.553980038
5.507999999999999,18749233.70265336
5.525,18397046.468435574
5.542000000000001,18002169.645623717
5.559,17582929.097082477
5.5760000000000005,17323232.73138832
5.593,16951104.487592213
5.61,16525525.658394808
5.627000000000001,16116537.105596537
5.644,15824422.07039769
5.6610000000000005,15401326.71359846
5.678,15060212.475732306
5.695,14636536.31715487
5.712000000000001,14251344.211436579
5.729,13882592.140957719
5.746,13521386.760638481
5.763,13140636.507092321
5.78,12789523.004728213
5.797000000000001,12441100.66981881
5.814,12060339.11321254
5.831,11722530.075475028
5.848,11343724.050316686
5.865,11025650.700211124
5.882000000000001,10728951.133474084
5.899,10438650.088982722
5.916,10133841.392655147
5.933,9779424.928436765
5.95,9515499.28562451
5.9670000000000005,9261724.857083006
5.984,9066941.904722003
6.001,8808233.269814668
6.018,8573211.513209779
6.035,8339303.675473186
6.0520000000000005,8093594.450315458
6.069,7906748.300210305
6.086,7708712.200140203
6.103,7513541.466760136
6.12,7336408.977840091
6.1370000000000005,7167291.318560061
6.154,6997714.212373373
6.171,6863073.474915582
6.188,6704534.316610388
6.205,6582030.877740259
6.222,6446943.25182684
6.239,6334868.834551227
6.256,6221155.223034151
6.273,6075970.148689434
6.29,5971841.432459623
6.307,5860950.288306415
6.324,5756046.858870943
6.341,5654367.239247295
6.359,5539732.826164863
6.376,5454776.550776576
6.392,5362384.367184384
6.41,5283808.244789589
6.426,5186794.829859726
6.444,5090204.553239818
6.461,5024189.702159879
6.478,4962515.8014399195
6.495,4865677.200959946
6.5120000000000005,4818611.467306631
6.529,4758647.644871087
6.546,4681978.429914058
6.563,4597073.619942705
6.58,4525707.74662847
6.597,4443911.8310856465
6.614,4375045.220723764
6.631,4303534.147149176
6.648,4245620.098099451
6.665,4212472.065399634
6.682,4141477.376933089
6.699,4104984.9179553925
6.716,4038160.611970262
6.733,3950005.7413135082
6.75,3919907.8275423385
6.767,3884055.885028226
6.784,3847098.5900188177
6.801,3789948.393345879
6.818,3734696.2622305863
6.835,3697008.174820391
6.852,3638773.449880261
6.869,3622648.966586841
6.886,3563429.977724561
6.903,3549294.651816374
6.92,3486025.7678775825
6.937,3446065.178585055
6.954,3419424.7857233696
6.971,3371968.5238155797
6.9879999999999995,3327019.015877053
7.005,3274695.3439180353
7.022,3260207.562612023
7.039,3220597.041741349
7.056,3194958.027827566
7.0729999999999995,3139038.6852183775
7.09,3102015.123478918
7.107,3069738.0823192783
7.124,3035164.0548795187
7.141,3015272.0365863456
7.1579999999999995,2990832.0243908972
7.175,2969674.6829272644
7.192,2947719.1219515093
7.209,2907567.4146343395
7.226,2870474.276422893
7.242999999999999,2842332.184281929
7.26,2806333.4561879523
7.277,2804350.3041253015
7.294,2765481.5360835344
7.311,2727366.357389023
7.327999999999999,2706478.9049260155
7.345,2697332.60328401
7.362,2666147.068856007
7.379,2653463.379237338
7.396,2637327.5861582253
7.412999999999999,2599605.057438817
7.43,2564814.0382925444
7.447,2541961.3588616964
7.4639999999999995,2537990.239241131
7.481,2524676.1594940876
7.497999999999999,2492589.439662725
7.515,2449694.2931084833
7.532,2422462.862072322
7.5489999999999995,2406271.241381548
7.566,2385236.8275876986
7.582999999999999,2371213.885058466
7.6,2352051.9233723106
7.617000000000001,2321954.6155815404
7.6339999999999995,2284140.4103876934
7.651,2270280.2735917955
7.667999999999999,2259162.849061197
7.685,2246460.566040798
7.702000000000001,2230312.377360532
7.718999999999999,2205125.5849070214
7.736000000000001,2182958.389938014
7.752999999999999,2155636.259958676
7.77,2140664.173305784
7.787000000000001,2117840.1155371894
7.803999999999999,2110048.077024793
7.821000000000001,2088874.7180165285
7.837999999999999,2083164.4786776856
7.855,2083048.319118457
7.872000000000001,2063770.8794123046
7.888999999999999,2039591.2529415365
7.906000000000001,2015108.8352943577
7.922999999999999,1993688.556862905
7.94,1973627.0379086032
7.957000000000001,1970450.0252724022
7.974,1951350.6835149347
7.9910000000000005,1945529.7890099566
8.008,1917222.5260066378
8.025,1888879.0173377588
8.042,1875722.011558506
8.059,1868060.0077056705
8.076,1853650.6718037806
8.093,1821815.114535854
8.11,1805476.7430239029
8.127,1790851.1620159354
8.144,1782999.4413439569
8.161,1780708.9608959712
