Time,Absorbance
0.017,646.0
0.034,1052.2
0.051,964.9473684210526
0.068,1215.446153846154
0.085,288669.6872037914
0.102,554679.8917293233
0.11900000000000001,597078.7683341429
0.136,584905.5314829501
0.153,628204.6641281102
0.17,786975.0983196897
0.187,776000.521579221
0.204,822717.7469019333
0.221,778716.4088918255
0.23800000000000002,793514.964861426
0.255,639281.7606434249
0.272,791924.229251846
0.289,764657.811865987
0.306,759709.8599310109
0.32299999999999995,768151.7146821725
0.34,764195.9535106928
0.35700000000000004,653697.8157025314
0.374,639850.0262785075
0.391,759910.7155012769
0.408,661507.9648966909
0.425,630636.0873390794
0.442,641757.6851853476
0.45899999999999996,598392.3601861637
0.47600000000000003,589328.1337648039
0.493,532020.974216443
0.51,514904.56021390273
0.527,466965.5401382376
0.544,466627.69264242204
0.561,530455.8937231363
0.578,505711.9036589284
0.595,498527.93083894305
0.612,461210.60347389325
0.629,439020.395542871
0.6459999999999999,413965.5919303068
0.6629999999999999,339817.05122813303
0.68,390176.705373168
0.6970000000000001,354619.1347716148
0.7140000000000001,379602.0908519218
0.731,334764.0593664517
0.748,320413.3726546037
0.765,277038.24791982665
0.782,269961.49855703075
0.799,270047.6657051433
0.816,238374.44369166234
0.833,223246.96242552096
0.85,208815.30826104706
0.867,197940.87216266157
0.884,172552.58142407786
0.9009999999999999,159275.05427654865
0.9179999999999999,136399.36951061236
0.935,123691.57967111707
0.9520000000000001,109343.71977876923
0.9690000000000001,91742.4798508972
0.986,85452.31990021322
1.003,76400.21326643952
1.02,60724.80884386669
1.037,54257.87256246054
1.054,47465.248374891584
1.071,40062.1655832014
1.088,31317.777055420625
1.105,23653.51803691964
1.122,26747.34535795381
1.139,25407.896905300408
1.156,28163.931270203197
1.173,29426.954180136356
1.19,27903.636120090185
1.207,20038.42408005765
1.224,15565.61605337083
1.2409999999999999,13021.410702246865
1.258,10788.273801497702
1.275,8970.515867665023
1.2919999999999998,6987.677245109934
1.3090000000000002,7068.451496739959
1.3259999999999998,6478.300997826629
1.3430000000000002,8327.867331884441
1.36,11195.911554589651
1.3769999999999998,7940.607703059751
1.3940000000000001,5391.071802039825
1.411,3678.7145346932134
1.4280000000000002,3256.8096897954747
1.445,2800.873126530316
1.462,2283.2487510202104
1.479,1881.8325006801401
1.496,1477.5550004534266
