Time,Absorbance
0.017,2615.0
0.034,4002.8
0.051,3562.368421052631
0.068,3245.6923076923076
0.085,18769.402843601893
0.102,42653.780451127815
0.11900000000000001,64005.52112676057
0.136,52502.51816019034
0.153,46593.29977570289
0.17,42039.225230504104
0.187,39344.32772317375
0.204,40849.15000237037
0.221,34477.02521859796
0.23800000000000002,29954.525045079452
0.255,24368.25957543442
0.272,21026.418635177237
0.289,21410.66908866136
0.306,21062.54383715015
0.32299999999999995,17971.30145366468
0.34,18601.723888537083
0.35700000000000004,20374.50467635171
0.374,20782.724345725175
0.391,22409.96122508077
0.408,24203.414020208023
0.425,34437.34796570117
0.442,32945.85926638315
0.45899999999999996,37261.31546703278
0.47600000000000003,42447.60450041662
0.493,44442.418604995495
0.51,47656.29583067221
0.527,49182.86919459826
0.544,52332.58676354395
0.561,55257.72902899818
0.578,59391.82361137087
0.595,63001.21821970712
0.612,69363.48172604312
0.629,73784.98916692699
0.6459999999999999,77788.66025930454
0.6629999999999999,81036.4406134525
0.68,84937.62742844947
0.6970000000000001,87141.08508515012
0.7140000000000001,79603.38975379251
0.731,75215.59305161801
0.748,78957.06210125053
0.765,80047.37474715209
0.782,77878.24981421261
0.799,73873.49985494417
0.816,64920.99987170508
0.833,61599.333239989195
0.85,58195.55548798789
0.867,49766.370316512104
0.884,45002.91354102111
0.9009999999999999,41308.6090256307
0.9179999999999999,41115.07268369385
0.935,39686.048455500764
0.9520000000000001,37126.0323033147
0.9690000000000001,34932.35486867511
0.986,35037.56991245651
1.003,38715.71327512106
1.02,38106.4755167308
1.037,34709.98367775895
1.054,29665.322451778324
1.071,24799.214967813004
1.088,24781.14331187524
1.105,24962.42887458414
1.122,22246.619249716277
1.139,19673.41283314009
1.156,22129.275222096
1.173,18627.183481394855
1.19,17305.12232092928
1.207,20253.081547287115
1.224,23274.054364858708
1.2409999999999999,20202.369576572044
1.258,19169.913051047934
1.275,17013.275367365157
1.2919999999999998,15796.850244910054
1.3090000000000002,15512.233496606696
1.3259999999999998,16138.488997737808
1.3430000000000002,17555.325998491888
1.36,27242.217332328004
1.3769999999999998,38409.47822155206
1.3940000000000001,65187.652147701476
1.411,109831.76809846776
1.4280000000000002,172869.1787323119
